date,state,cases_new,cases_recovered,cases_active
2/2/2020,Terengganu,0,0,0
2/2/2020,W.P. Kuala Lumpur,0,0,0
2/2/2020,W.P. Labuan,0,0,0
2/2/2020,W.P. Putrajaya,0,0,0
2/3/2020,Johor,0,0,7
2/3/2020,Kedah,0,0,1
2/3/2020,Kelantan,0,0,0
2/3/2020,Melaka,0,0,0
2/3/2020,Negeri Sembilan,0,0,0
2/3/2020,Pahang,0,0,0
2/3/2020,Perak,0,0,0
2/3/2020,Perlis,0,0,0
2/3/2020,Pulau Pinang,0,0,0
2/3/2020,Sabah,0,0,0
2/3/2020,Sarawak,0,0,0
2/3/2020,Selangor,0,0,0
2/3/2020,Terengganu,0,0,0
2/3/2020,W.P. Kuala Lumpur,0,0,0
2/3/2020,W.P. Labuan,0,0,0
2/3/2020,W.P. Putrajaya,0,0,0
2/4/2020,Johor,0,0,7
2/4/2020,Kedah,0,0,1
2/4/2020,Kelantan,0,0,0
2/4/2020,Melaka,0,0,0
2/4/2020,Negeri Sembilan,0,0,0
2/4/2020,Pahang,0,0,0
2/4/2020,Perak,0,0,0
2/4/2020,Perlis,0,0,0
2/4/2020,Pulau Pinang,0,0,0
2/4/2020,Sabah,0,0,0
2/4/2020,Sarawak,0,0,0
2/4/2020,Selangor,1,0,1
2/4/2020,Terengganu,0,0,0
2/4/2020,W.P. Kuala Lumpur,1,0,1
2/4/2020,W.P. Labuan,0,0,0
2/4/2020,W.P. Putrajaya,0,0,0
2/5/2020,Johor,0,0,7
2/5/2020,Kedah,0,1,0
2/5/2020,Kelantan,0,0,0
2/5/2020,Melaka,0,0,0
2/5/2020,Negeri Sembilan,2,0,2
2/5/2020,Pahang,0,0,0
2/5/2020,Perak,0,0,0
2/5/2020,Perlis,0,0,0
2/5/2020,Pulau Pinang,0,0,0
2/5/2020,Sabah,0,0,0
2/5/2020,Sarawak,0,0,0
2/5/2020,Selangor,0,0,1
2/5/2020,Terengganu,0,0,0
2/5/2020,W.P. Kuala Lumpur,0,0,1
2/5/2020,W.P. Labuan,0,0,0
2/5/2020,W.P. Putrajaya,0,0,0
2/6/2020,Johor,0,0,7
2/6/2020,Kedah,1,0,1
2/6/2020,Kelantan,0,0,0
2/6/2020,Melaka,0,0,0
2/6/2020,Negeri Sembilan,0,0,2
2/6/2020,Pahang,0,0,0
2/6/2020,Perak,0,0,0
2/6/2020,Perlis,0,0,0
2/6/2020,Pulau Pinang,0,0,0
2/6/2020,Sabah,0,0,0
2/6/2020,Sarawak,0,0,0
2/6/2020,Selangor,0,0,1
2/6/2020,Terengganu,0,0,0
2/6/2020,W.P. Kuala Lumpur,1,0,2
2/6/2020,W.P. Labuan,0,0,0
2/6/2020,W.P. Putrajaya,0,0,0
2/7/2020,Johor,1,0,8
2/7/2020,Kedah,0,0,1
2/7/2020,Kelantan,0,0,0
2/7/2020,Melaka,0,0,0
2/7/2020,Negeri Sembilan,0,0,2
2/7/2020,Pahang,0,0,0
2/7/2020,Perak,0,0,0
2/7/2020,Perlis,0,0,0
2/7/2020,Pulau Pinang,0,0,0
2/7/2020,Sabah,0,0,0
2/7/2020,Sarawak,0,0,0
2/7/2020,Selangor,0,0,1
2/7/2020,Terengganu,0,0,0
2/7/2020,W.P. Kuala Lumpur,0,0,2
2/7/2020,W.P. Labuan,0,0,0
2/7/2020,W.P. Putrajaya,0,0,0
2/8/2020,Johor,0,1,7
2/8/2020,Kedah,0,0,1
2/8/2020,Kelantan,0,0,0
2/8/2020,Melaka,0,0,0
2/8/2020,Negeri Sembilan,0,0,2
2/8/2020,Pahang,0,0,0
2/8/2020,Perak,0,0,0
2/8/2020,Perlis,0,0,0
2/8/2020,Pulau Pinang,0,0,0
2/8/2020,Sabah,0,0,0
2/8/2020,Sarawak,0,0,0
2/8/2020,Selangor,0,0,1
2/8/2020,Terengganu,0,0,0
2/8/2020,W.P. Kuala Lumpur,1,0,3
2/8/2020,W.P. Labuan,0,0,0
2/8/2020,W.P. Putrajaya,0,0,0
2/9/2020,Johor,0,0,7
2/9/2020,Kedah,0,0,1
2/9/2020,Kelantan,0,0,0
2/9/2020,Melaka,0,0,0
2/9/2020,Negeri Sembilan,0,0,2
2/9/2020,Pahang,0,0,0
2/9/2020,Perak,0,0,0
2/9/2020,Perlis,0,0,0
2/9/2020,Pulau Pinang,0,0,0
2/9/2020,Sabah,0,0,0
2/9/2020,Sarawak,0,0,0
2/9/2020,Selangor,1,0,2
2/9/2020,Terengganu,0,0,0
2/9/2020,W.P. Kuala Lumpur,0,1,2
2/9/2020,W.P. Labuan,0,0,0
2/9/2020,W.P. Putrajaya,0,0,0
2/10/2020,Johor,0,0,7
2/10/2020,Kedah,0,0,1
2/10/2020,Kelantan,0,0,0
2/10/2020,Melaka,0,0,0
2/10/2020,Negeri Sembilan,0,0,2
2/10/2020,Pahang,0,0,0
2/10/2020,Perak,0,0,0
2/10/2020,Perlis,0,0,0
2/10/2020,Pulau Pinang,0,0,0
2/10/2020,Sabah,0,0,0
2/10/2020,Sarawak,0,0,0
2/10/2020,Selangor,1,0,3
2/10/2020,Terengganu,0,0,0
2/10/2020,W.P. Kuala Lumpur,0,0,2
